name,latitude,longitude,ratings,no_of_reviews,category,description,small_photo
National Museum of Nepal,27.705821,85.288941,4.2,1048,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipOTaTM7Gnn2IaZe2FpYsR_Xv2YylsqIuk2Tn1U=w1200-h1200-k-no
Pashupatinath Temple,27.710512,85.3488125,4.7,33003,Hindu temple,·,https://lh5.googleusercontent.com/p/AF1QipMSTTZqIrYFpSfo9lXTnKYORhYcekj8vvhVwaN4=w1200-h1200-k-no
Budhanilkantha Temple,27.7780835,85.3623332,4.6,7541,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipO8nmlW-FIZ46wozd_ONm7o04FMP53uMqtd9HlN=w1200-h1200-k-no
Krishna Temple,27.6735983,85.3249312,4.7,6561,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipPQ3h_a3qN5UVTpnec-lxtUC0Y_5oLCcu-SCTcC=w1200-h1200-k-no
Manjushree Park,27.6604755,85.2930199,4.0,2193,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipN5cee2IQKsRMc0Xb5ED41llfel-7T7ZsAd1wM=w1200-h1200-k-no
Jagannath Temple,27.704695,85.3072217,4.6,67,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipPXq6KJe6oZM4hO514uOfhYWAmnSs1zDtWltjiM=w1200-h1200-k-no
Central Zoo,27.672704,85.3118294,4.0,6628,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipOWwR7XjLSPeQ0zbqaHj4ZLcK6dvfxuDY1djh2A=w1200-h1200-k-no
Patan Museum,27.6728498,85.3256651,4.6,1247,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipNpcMiXImsTm5BZmuQgil0wOVahoYsCymjzcxSi=w1200-h1200-k-no
अशोक विनायक मन्दिर,27.704106,85.3059307,4.6,521,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipPdhOxAfdEq_FmyFujkCcQH7FYIIiSGDecGVxPg=w1200-h1200-k-no
Bhaktapur Durbar Square,27.6720744,85.4281023,4.6,17491,Tourist attraction,Plaza with an ornate palace complex,https://lh5.googleusercontent.com/p/AF1QipPIBnneG_289zG13Zur6WgkxazReq4drayqvBG1=w1200-h1200-k-no
Nyatapola Temple,27.6713593,85.4293285,4.7,1894,Tourist attraction,Tiered pagoda built in the early 1700s,https://lh5.googleusercontent.com/p/AF1QipP7BA9UH9jERchw-XVw3tBRuQkO5vH_qvtxkJ8G=w1200-h1200-k-no
55 Window Palace,27.6721559,85.4285784,4.7,544,Tourist attraction,18th-century palace with intricate decor,https://lh5.googleusercontent.com/p/AF1QipMLkP2_OcfR3_xgfpyIP3ozIMawNEj_Fu8JCVnz=w1200-h1200-k-no
Statue of King Bhupatindra Malla,27.6720661,85.4284044,4.9,14,Tourist attraction,,https://lh5.googleusercontent.com/p/AF1QipMH98Gj1cUAvyMJnYiqrH8YdIC5HsJQDlkWuvFz=w1200-h1200-k-no
National Art Museum,27.6721934,85.4281506,4.2,57,Tourist attraction,Historic Nepalese museum & gallery,https://lh5.googleusercontent.com/p/AF1QipND5w9yNMJ4LOslW2914o-A9_B8AHhPM1cUUknT=w1200-h1200-k-no
Thimi Pottery Square,27.6793234,85.3848428,4.5,11,Tourist attraction,,https://lh5.googleusercontent.com/p/AF1QipNpLCZ56DEtqlePIdSjPSNP-vH653aYwS7QUo11=w1200-h1200-k-no
Indrayani Temple,27.6731876,85.4268204,4.4,25,Tourist attraction,,https://lh5.googleusercontent.com/p/AF1QipPtbqU_Ndf0YxphgF_e0ysqxCTKLJy_YLPiq9SE=w1200-h1200-k-no
Bhairav Temple Thimi,27.674649,85.3847335,3.6,7,Tourist attraction,,https://lh5.googleusercontent.com/p/AF1QipPDPbGZkHBp-WCM1awK7srdySz0e0IM8RboBswg=w1200-h1200-k-no
Patan Darbar Square,27.6726981,85.3253211,4.6,25690,Tourist attraction,,https://lh5.googleusercontent.com/p/AF1QipNcHvhs0kjQCizhzL_DZuni04eQOrYPqGEzP2mS=w1200-h1200-k-no
Golden Gate,27.6721136,85.4283739,4.7,96,Tourist attraction,,https://lh5.googleusercontent.com/p/AF1QipMBXYViUbPtWB5Mgzq-oJbgqb1OkQHhOktYFpOh=w1200-h1200-k-no
Kathmandu Fun Valley,27.6467707,85.4670261,3.8,678,Tourist attraction,,https://lh5.googleusercontent.com/p/AF1QipNRoTqTtX07QG6xlOrbJdfQmbuwEZuGjGxhcxtz=w1200-h1200-k-no
